Geo Point;Geo Shape;gml_id;GID;NOM_SITE_A;ESP_VISEE;ESP_DETAIL;TERRIT_P
44.884893980268004, -0.5391026938999953;"{""coordinates"": [-0.539102693899995, 44.884893980268004], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79979;79979;Parc des Berges de Garonne C 68;OISEAU;HUPPE FASCIEE;PT_BORDEAUX
44.88659660938745, -0.5389733381231006;"{""coordinates"": [-0.538973338123101, 44.88659660938745], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79980;79980;Parc des Berges de Garonne D 69;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.854325590789394, -0.6319898404692035;"{""coordinates"": [-0.631989840469203, 44.854325590789394], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79832;79832;Parc Monséjour 141;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.81505883200218, -0.5536959471422863;"{""coordinates"": [-0.553695947142286, 44.81505883200218], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79837;79837;Jardin Brascassat 97;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.81531471018188, -0.5543142500453607;"{""coordinates"": [-0.554314250045361, 44.81531471018188], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79838;79838;Jardin Brascassat 51;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.81611684860885, -0.5552577110142706;"{""coordinates"": [-0.555257711014271, 44.81611684860885], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79840;79840;Jardin Brascassat_Bâtiment Ecole Elémentaire Carles Vernet;OISEAU;BERGERONETTE GRISE;PT_BORDEAUX
44.853069394644216, -0.6005105633612647;"{""coordinates"": [-0.600510563361265, 44.853069394644216], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79845;79845;Parc Bordelais K 43 Chênaie;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.85452836721848, -0.5877280844252866;"{""coordinates"": [-0.587728084425287, 44.85452836721848], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79856;79856;Parc Rivière 101 Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85586353494476, -0.5865050297385617;"{""coordinates"": [-0.586505029738562, 44.85586353494476], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79858;79858;Parc Rivière 36 Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84739429085423, -0.5650934689228767;"{""coordinates"": [-0.565093468922877, 44.84739429085423], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79860;79860;Parc des Berges de Queyries 9;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
